date,jan_price,feb_price,mar_price,apr_price,may_price,jun_price,jul_price,aug_price,sep_price,oct_price,nov_price,dec_price
2000,672.551115,685.8404619,666.6412437,612.1020074,284.5980182,209.5212304,258.4953759,286.347102,494.6992725,385.8617132,189.5111897,178.2292062
2001,227.6402766,153.5513545,253.9410652,313.0969563,223.1874686,504.5935176,540.0248099,575.4561022,367.5117353,163.6209535,155.9244326,209.715925
2002,193.3183136,155.5048666,135.427041,190.5188986,289.927438,262.5961687,259.0070008,594.9107374,834.8572124,290.0916017,366.4836814,602.0644651
2003,577.1097585,568.8232768,779.2189846,735.9413919,467.2955541,195.9360883,383.4830563,377.8369467,424.7569109,591.2849121,436.6560496,221.1666388
2004,187.4213015,187.809927,322.603933,348.6623238,216.0888786,235.3625995,522.3867702,814.6068402,517.0323959,211.9108577,194.1623272,161.8768229
2005,191.2606809,247.8874058,251.7638801,231.9772401,211.7525677,233.3901145,367.3439382,419.0722807,708.2224298,916.54392,565.0701129,599.313794
2006,414.5077649,463.7443912,577.1868521,540.0596096,382.2653853,203.6673342,246.2405033,641.2530535,671.1741016,206.6292567,207.6820759,228.1862337
2007,179.3649857,167.4332583,192.2139011,236.6662036,193.2747744,274.0725922,397.9626235,377.1740554,640.6600746,620.0291921,595.4976824,405.8196667
2008,362.54803,324.1014943,350.4596432,409.8677542,275.6660483,245.376604,222.1790031,379.7555665,306.5617233,255.2163541,277.7288479,258.9094215
2009,257.0285317,288.190748,479.2226457,968.7947949,732.2463308,271.0327727,301.8408031,467.8755485,436.1143168,233.3064469,235.1946004,262.0976491
2010,402.2010585,598.1777923,841.5184471,1007.152766,639.4250931,357.3944322,615.9250588,493.9932084,1267.428959,993.6280391,675.6293248,777.3160091
2011,998.8046087,679.3166013,694.4800818,396.1199208,168.1806743,167.24251,412.5545186,753.7162732,496.1113831,343.5754545,210.0371358,195.8318843
2012,220.2506073,318.0711789,518.6177609,718.5092459,375.1020027,323.7859117,404.8492839,486.0638085,762.1893399,616.5395259,554.4288747,687.1395622
2013,717.0558733,695.7543182,666.1348083,655.0161841,478.3382572,338.4426603,421.6244598,810.8786596,678.5615497,315.2426319,410.8707753,360.3494077
2014,313.5174445,252.5887491,212.4056037,174.8930883,193.5589579,290.6035262,448.7160158,419.3198456,456.6029908,278.1994881,249.1269595,238.4494012
2015,227.1735201,292.1804486,371.4515758,370.6265119,712.4446231,550.330268,447.6089391,461.3946644,416.9182513,291.699123,350.7753801,286.4622857
2016,437.2838527,591.2944991,816.6441968,1173.269997,794.5874363,397.4537542,504.0896411,1081.631297,1370.251787,603.2088528,601.8681572,699.8737067
2017,700.1882735,738.7314151,615.3600108,468.8105803,273.823068,260.1701129,560.0342437,962.3537507,1062.912713,445.5654112,357.388476,412.6816585
2018,467.6549707,627.2652474,596.9502748,528.199169,356.6449158,301.657129,608.5617327,1117.472468,710.958277,436.3167958,400.2332818,294.4329235
2019,247.3265223,228.2002452,205.0216945,213.1582308,262.7837137,445.1233769,452.4374116,493.3123195,1060.613602,1013.374148,722.3249168,679.4231324
2020,658.8375314,778.3915042,714.1899722,764.1714311,834.3701424,572.7720172,782.9736679,1215.034269,1754.414758,705.1962696,462.2442316,300.4888332
2021,376.7109128,578.8470397,716.551677,707.0614969,443.9471111,443.2410826,406.9033165,652.8509993,837.4252031,441.2934632,750.8336658,672.8769039
2022,626.2711464,708.4759945,781.2060543,878.1939355,702.955032,675.9267553,1026.941255,1030.123586,1750.283468,857.0274216,434.8975487,380.7652157
2023,380.9384608,451.2492899,565.6247935,724.233909,697.5946238,649.0939378,584.6011336,876.9886343,866.2756057,778.5051049,548.6748434,583.5125212
2024,553.8481363,690.4354457,950.4527507,1186.689576,860.8885335,594.6727897,819.8267677,1317.351882,1689.254001,1486.369312,752.1140761,965.7132927
